Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
Proportion of population with access to public transport,Bia?ystok,Poland,Northern America and Europe,93.57, European Commission DG REGIO,600
Proportion of population with access to public transport,Alkmaar,Netherlands,Northern America and Europe,93.59, European Commission DG REGIO,601
Proportion of population with access to public transport,Bocholt,Germany,Northern America and Europe,93.6, European Commission DG REGIO,602
Proportion of population with access to public transport,Kraków,Poland,Northern America and Europe,93.6, European Commission DG REGIO,603
Proportion of population with access to public transport,München,Germany,Northern America and Europe,93.62, European Commission DG REGIO,604
Proportion of population with access to public transport,Marl,Germany,Northern America and Europe,93.62, European Commission DG REGIO,605
Proportion of population with access to public transport,La Louvière,Belgium,Northern America and Europe,93.63, European Commission DG REGIO,606
Proportion of population with access to public transport,Stargard Szczeci?ski,Poland,Northern America and Europe,93.65, European Commission DG REGIO,607
Proportion of population with access to public transport,Stavanger,Norway,Northern America and Europe,93.65, European Commission DG REGIO,608
Proportion of population with access to public transport,Bielefeld,Germany,Northern America and Europe,93.66, European Commission DG REGIO,609
Proportion of population with access to public transport,Plovdiv,Bulgaria,Northern America and Europe,93.67, European Commission DG REGIO,610
Proportion of population with access to public transport,Winterthur,Switzerland,Northern America and Europe,93.67, European Commission DG REGIO,611
Proportion of population with access to public transport,Rostock,Germany,Northern America and Europe,93.68, European Commission DG REGIO,612
Proportion of population with access to public transport,Geelong,Australia,Australia and New Zealand,89.68,UN-Habitat Urban Indicators Database,613
Proportion of population with access to public transport,Poruba,Czech Republic,Northern America and Europe,87.09, European Commission DG REGIO,614
Proportion of population with access to public transport,Astrakhan,Russia,Northern America and Europe,73.9,UN-Habitat Urban Indicators Database,615
Proportion of population with access to public transport,Izmir,Turkey,Western Asia and Northern Africa ,83.28,UN-Habitat Urban Indicators Database,616
Proportion of population with access to public transport,Alice Spring,Australia,Australia and New Zealand,83.35,UN-Habitat Urban Indicators Database,617
Proportion of population with access to public transport,Cordoba,Argentina,Latin America and the Caribbean,83.45,UN-Habitat Urban Indicators Database,618
Proportion of population with access to public transport,Šiauliai,Lithuania,Northern America and Europe,83.48, European Commission DG REGIO,619
Proportion of population with access to public transport,Wa?brzych,Poland,Northern America and Europe,83.54, European Commission DG REGIO,620
Proportion of population with access to public transport,Babrujsk ,Belarus ,Northern America and Europe,83.57,UN-Habitat Urban Indicators Database,621
Proportion of population with access to public transport,CampiaTurzii,Romania,Northern America and Europe,83.76,UN-Habitat Urban Indicators Database,622
Proportion of population with access to public transport,Sabadell,Spain,Northern America and Europe,84.17, European Commission DG REGIO,623
Proportion of population with access to public transport,Quaregnon / Frameries,Belgium,Northern America and Europe,84.26, European Commission DG REGIO,624
Proportion of population with access to public transport,Ede,Netherlands,Northern America and Europe,84.28, European Commission DG REGIO,625
Proportion of population with access to public transport,Martin,Slovakia,Northern America and Europe,84.38, European Commission DG REGIO,626
Proportion of population with access to public transport,Viciebsk ,Belarus ,Northern America and Europe,84.42,UN-Habitat Urban Indicators Database,627
Proportion of population with access to public transport,Limerick,Ireland,Northern America and Europe,84.55, European Commission DG REGIO,628
Proportion of population with access to public transport,Helmond,Netherlands,Northern America and Europe,84.56, European Commission DG REGIO,629
Proportion of population with access to public transport,Bad Soden am Taunus / Kelkheim,Germany,Northern America and Europe,84.59, European Commission DG REGIO,630
Proportion of population with access to public transport,Reutlingen,Germany,Northern America and Europe,84.69, European Commission DG REGIO,631
Proportion of population with access to public transport,Craiova,Romania,Northern America and Europe,84.75, European Commission DG REGIO,632
Proportion of population with access to public transport,Chomutov / Jirkov,Czech Republic,Northern America and Europe,84.76, European Commission DG REGIO,633
Proportion of population with access to public transport,Canberra,Australia,Australia and New Zealand,84.8,UN-Habitat Urban Indicators Database,634
Proportion of population with access to public transport,Tel Aviv,Israel,Western Asia and Northern Africa ,84.82,UN-Habitat Urban Indicators Database,635
Proportion of population with access to public transport,Haninge,Sweden,Northern America and Europe,84.87, European Commission DG REGIO,636
Proportion of population with access to public transport,Beverwijk/Heemskerk,Netherlands,Northern America and Europe,84.97, European Commission DG REGIO,637
Proportion of population with access to public transport,Niš,Serbia,Northern America and Europe,85, European Commission DG REGIO,638
Proportion of population with access to public transport,Göteborg,Sweden,Northern America and Europe,85.05, European Commission DG REGIO,639
Proportion of population with access to public transport,Victoria,Canada,Northern America and Europe,85.34,UN-Habitat Urban Indicators Database,640
Proportion of population with access to public transport,Lørenskog / Lillestrøm,Norway,Northern America and Europe,85.4, European Commission DG REGIO,641
Proportion of population with access to public transport,Tczew,Poland,Northern America and Europe,85.4, European Commission DG REGIO,642
Proportion of population with access to public transport,Lelystad,Netherlands,Northern America and Europe,85.54, European Commission DG REGIO,643
Proportion of population with access to public transport,Bucure?ti,Romania,Northern America and Europe,85.57, European Commission DG REGIO,644
Proportion of population with access to public transport,Balikesir,Turkey,Western Asia and Northern Africa ,85.6,UN-Habitat Urban Indicators Database,645
Proportion of population with access to public transport,Peterborough,United Kingdom,Northern America and Europe,85.62, European Commission DG REGIO,646
Proportion of population with access to public transport,Cerignola,Italy,Northern America and Europe,85.68, European Commission DG REGIO,647
Proportion of population with access to public transport,Gera,Germany,Northern America and Europe,85.72, European Commission DG REGIO,648
Proportion of population with access to public transport,Belo Horizonte,Brazil,Latin America and the Caribbean,85.82,UN-Habitat Urban Indicators Database,649
Proportion of population with access to public transport,'s-Hertogenbosch,Netherlands,Northern America and Europe,85.87, European Commission DG REGIO,650
Proportion of population with access to public transport,Norrköping,Sweden,Northern America and Europe,85.89, European Commission DG REGIO,651
Proportion of population with access to public transport,Moscow,Russia,Northern America and Europe,85.91,UN-Habitat Urban Indicators Database,652
Proportion of population with access to public transport,Daugavpils,Latvia,Northern America and Europe,85.96, European Commission DG REGIO,653
Proportion of population with access to public transport,Heerlen,Netherlands,Northern America and Europe,85.97, European Commission DG REGIO,654
Proportion of population with access to public transport,La Seyne-sur-Mer / Sanary-sur-Mer,France,Northern America and Europe,86.07, European Commission DG REGIO,655
Proportion of population with access to public transport,Nieuwegein / IJsselstein,Netherlands,Northern America and Europe,86.12, European Commission DG REGIO,656
Proportion of population with access to public transport,Legionowo,Poland,Northern America and Europe,86.26, European Commission DG REGIO,657
Proportion of population with access to public transport,Mannheim/Ludwigshafen,Germany,Northern America and Europe,86.32, European Commission DG REGIO,658
Proportion of population with access to public transport,Plauen,Germany,Northern America and Europe,86.46, European Commission DG REGIO,659
Proportion of population with access to public transport,Katowice,Poland,Northern America and Europe,86.47,UN-Habitat Urban Indicators Database,660
Proportion of population with access to public transport,Rustington,United Kingdom,Northern America and Europe,86.7, European Commission DG REGIO,661
Proportion of population with access to public transport,Catania,Italy,Northern America and Europe,86.75, European Commission DG REGIO,662
Proportion of population with access to public transport,Monaco,Monaco,Northern America and Europe,73.98, European Commission DG REGIO,663
Proportion of population with access to public transport,Rouen,France,Northern America and Europe,87.13, European Commission DG REGIO,664
Proportion of population with access to public transport,Rybnik,Poland,Northern America and Europe,89.7, European Commission DG REGIO,665
Proportion of population with access to public transport,Erfurt,Germany,Northern America and Europe,89.7, European Commission DG REGIO,666
Proportion of population with access to public transport,Pécs,Hungary,Northern America and Europe,89.7, European Commission DG REGIO,667
Proportion of population with access to public transport,Bergen,Norway,Northern America and Europe,89.73, European Commission DG REGIO,668
Proportion of population with access to public transport,Thurrock,United Kingdom,Northern America and Europe,89.76, European Commission DG REGIO,669
Proportion of population with access to public transport,Terrassa,Spain,Northern America and Europe,89.77, European Commission DG REGIO,670
Proportion of population with access to public transport,Bremen,Germany,Northern America and Europe,89.83, European Commission DG REGIO,671
Proportion of population with access to public transport,Osijek,Croatia,Northern America and Europe,89.87, European Commission DG REGIO,672
Proportion of population with access to public transport,Stuttgart,Germany,Northern America and Europe,89.87, European Commission DG REGIO,673
Proportion of population with access to public transport,Lund,Sweden,Northern America and Europe,89.92, European Commission DG REGIO,674
Proportion of population with access to public transport,Rotterdam,Netherlands,Northern America and Europe,89.99, European Commission DG REGIO,675
Proportion of population with access to public transport,Frimley / Farnborough,United Kingdom,Northern America and Europe,90.01, European Commission DG REGIO,676
Proportion of population with access to public transport,Jena,Germany,Northern America and Europe,90.05, European Commission DG REGIO,677
Proportion of population with access to public transport,Borås,Sweden,Northern America and Europe,90.12, European Commission DG REGIO,678
Proportion of population with access to public transport,Stara Zagora,Bulgaria,Northern America and Europe,90.12, European Commission DG REGIO,679
Proportion of population with access to public transport,Lemesos,Cyprus,Northern America and Europe,90.16, European Commission DG REGIO,680
Proportion of population with access to public transport,Gouda,Netherlands,Northern America and Europe,90.17, European Commission DG REGIO,681
Proportion of population with access to public transport,Saint Petersburg,Russia,Northern America and Europe,90.21,UN-Habitat Urban Indicators Database,682
Proportion of population with access to public transport,Valenciennes,France,Northern America and Europe,90.22, European Commission DG REGIO,683
Proportion of population with access to public transport,Rákosliget,Hungary,Northern America and Europe,90.27, European Commission DG REGIO,684
Proportion of population with access to public transport,Beograd,Serbia,Northern America and Europe,90.28, European Commission DG REGIO,685
Proportion of population with access to public transport,Christ Church,New Zealand,Australia and New Zealand,90.28,UN-Habitat Urban Indicators Database,686
Proportion of population with access to public transport,Almelo,Netherlands,Northern America and Europe,90.29, European Commission DG REGIO,687
Proportion of population with access to public transport,Brescia,Italy,Northern America and Europe,90.31, European Commission DG REGIO,688
Proportion of population with access to public transport,Como,Italy,Northern America and Europe,90.35, European Commission DG REGIO,689
Proportion of population with access to public transport,Liep?ja,Latvia,Northern America and Europe,90.37, European Commission DG REGIO,690
Proportion of population with access to public transport,Pisa,Italy,Northern America and Europe,90.37, European Commission DG REGIO,691
Proportion of population with access to public transport,Santiago,Chile,Latin America and the Caribbean,90.41,UN-Habitat Urban Indicators Database,692
Proportion of population with access to public transport,Koszalin,Poland,Northern America and Europe,90.41, European Commission DG REGIO,693
Proportion of population with access to public transport,Bydgoszcz,Poland,Northern America and Europe,90.45, European Commission DG REGIO,694
Proportion of population with access to public transport,Bremerhaven,Germany,Northern America and Europe,90.47, European Commission DG REGIO,695
Proportion of population with access to public transport,Hamburg,Germany,Northern America and Europe,90.5, European Commission DG REGIO,696
Proportion of population with access to public transport,Enschede,Netherlands,Northern America and Europe,90.51, European Commission DG REGIO,697
Proportion of population with access to public transport,Górno?l?ski Zwi?zek Metropolitalny,Poland,Northern America and Europe,90.54, European Commission DG REGIO,698
Proportion of population with access to public transport,Bra?ov,Romania,Northern America and Europe,90.57, European Commission DG REGIO,699
Proportion of population with access to public transport,Alessandria,Italy,Northern America and Europe,90.63, European Commission DG REGIO,700
Proportion of population with access to public transport,Kielce,Poland,Northern America and Europe,90.63, European Commission DG REGIO,701
Proportion of population with access to public transport,Ajaccio,France,Northern America and Europe,90.66, European Commission DG REGIO,702
Proportion of population with access to public transport,Köln,Germany,Northern America and Europe,90.66, European Commission DG REGIO,703
Proportion of population with access to public transport,P?ock,Poland,Northern America and Europe,90.77, European Commission DG REGIO,704
Proportion of population with access to public transport,Halle an der Saale,Germany,Northern America and Europe,90.79, European Commission DG REGIO,705
Proportion of population with access to public transport,Redditch,United Kingdom,Northern America and Europe,90.85, European Commission DG REGIO,706
Proportion of population with access to public transport,Cádiz,Spain,Northern America and Europe,90.86, European Commission DG REGIO,707
Proportion of population with access to public transport,Freiburg im Breisgau,Germany,Northern America and Europe,90.87, European Commission DG REGIO,708
Proportion of population with access to public transport,Motherwell / Wishaw,United Kingdom,Northern America and Europe,90.87, European Commission DG REGIO,709
Proportion of population with access to public transport,Gorzów Wielkopolski,Poland,Northern America and Europe,90.91, European Commission DG REGIO,710
Proportion of population with access to public transport,Lublin,Poland,Northern America and Europe,87.19, European Commission DG REGIO,711
Proportion of population with access to public transport,Tokyo,Japan,Eastern Asia and South-Eastern Asia,74.03,UN-Habitat Urban Indicators Database,712
Proportion of population with access to public transport,Vleuten / De Meern,Netherlands,Northern America and Europe,74.09, European Commission DG REGIO,713
Proportion of population with access to public transport,Taolanaro,Madagascar,Sub-Saharan Africa,74.11,UN-Habitat Urban Indicators Database,714
Proportion of population with access to public transport,Marrakesh,Morocco,Western Asia and Northern Africa ,74.79,UN-Habitat Urban Indicators Database,715
Proportion of population with access to public transport,Ioannina,Greece,Northern America and Europe,74.79, European Commission DG REGIO,716
Proportion of population with access to public transport,Almere,Netherlands,Northern America and Europe,74.86, European Commission DG REGIO,717
Proportion of population with access to public transport,Sivas,Turkey,Western Asia and Northern Africa ,75.04,UN-Habitat Urban Indicators Database,718
Proportion of population with access to public transport,Gomel,Belarus,Northern America and Europe,75.04,UN-Habitat Urban Indicators Database,719
Proportion of population with access to public transport,Pune,India,Central Asia and Southern Asia,75.08,UN-Habitat Urban Indicators Database,720
Proportion of population with access to public transport,Cairns,Australia,Australia and New Zealand,75.28,UN-Habitat Urban Indicators Database,721
Proportion of population with access to public transport,Érd,Hungary,Northern America and Europe,75.36, European Commission DG REGIO,722
Proportion of population with access to public transport,Pokhara,Nepal,Central Asia and Southern Asia,75.82,UN-Habitat Urban Indicators Database,723
Proportion of population with access to public transport,Rovno,Ukraine,Northern America and Europe,75.89,UN-Habitat Urban Indicators Database,724
Proportion of population with access to public transport,Montevideo+CiudadDeLaCosta,Uruguay,Latin America and the Caribbean,75.98,UN-Habitat Urban Indicators Database,725
Proportion of population with access to public transport,Barreiro,Portugal,Northern America and Europe,76.01, European Commission DG REGIO,726
Proportion of population with access to public transport,Novi Sad,Serbia,Northern America and Europe,76.28, European Commission DG REGIO,727
Proportion of population with access to public transport,Wollogong,Australia,Australia and New Zealand,76.43,UN-Habitat Urban Indicators Database,728
Proportion of population with access to public transport,Greve / Ishøj,Denmark,Northern America and Europe,77.14, European Commission DG REGIO,729
Proportion of population with access to public transport,Kapellen / Ekeren,Belgium,Northern America and Europe,77.43, European Commission DG REGIO,730
Proportion of population with access to public transport,Milan,Italy,Northern America and Europe,77.71,UN-Habitat Urban Indicators Database,731
Proportion of population with access to public transport,Bursa,Turkey,Western Asia and Northern Africa ,77.83,UN-Habitat Urban Indicators Database,732
Proportion of population with access to public transport,Alphen aan den Rijn,Netherlands,Northern America and Europe,77.99, European Commission DG REGIO,733
Proportion of population with access to public transport,Santa Monica,Spain,Northern America and Europe,78, European Commission DG REGIO,734
Proportion of population with access to public transport,Chania,Greece,Northern America and Europe,78.17, European Commission DG REGIO,735
Proportion of population with access to public transport,Brest ,Belarus ,Northern America and Europe,78.28,UN-Habitat Urban Indicators Database,736
Proportion of population with access to public transport,Ahmedabad,India,Central Asia and Southern Asia,78.67,UN-Habitat Urban Indicators Database,737
Proportion of population with access to public transport,Navodari,Romania,Northern America and Europe,78.68,UN-Habitat Urban Indicators Database,738
Proportion of population with access to public transport,Porz,Germany,Northern America and Europe,78.8, European Commission DG REGIO,739
Proportion of population with access to public transport,Mazyr ,Belarus ,Northern America and Europe,79.23,UN-Habitat Urban Indicators Database,740
Proportion of population with access to public transport,Nikolaev,Ukraine,Northern America and Europe,79.46,UN-Habitat Urban Indicators Database,741
Proportion of population with access to public transport,Gröpelingen / Vegesack,Germany,Northern America and Europe,79.69, European Commission DG REGIO,742
Proportion of population with access to public transport,Västerås,Sweden,Northern America and Europe,79.71, European Commission DG REGIO,743
Proportion of population with access to public transport,Murcia,Spain,Northern America and Europe,80.08, European Commission DG REGIO,744
Proportion of population with access to public transport,LacHabana,Cuba,Latin America and the Caribbean,80.09,UN-Habitat Urban Indicators Database,745
Proportion of population with access to public transport,Ia?i,Romania,Northern America and Europe,80.36, European Commission DG REGIO,746
Proportion of population with access to public transport,Haarlemmermeer,Netherlands,Northern America and Europe,80.67, European Commission DG REGIO,747
Proportion of population with access to public transport,Zadar,Croatia,Northern America and Europe,80.77, European Commission DG REGIO,748
Proportion of population with access to public transport,Täby,Sweden,Northern America and Europe,80.79, European Commission DG REGIO,749
Proportion of population with access to public transport,Mumbai,India,Central Asia and Southern Asia,80.88,UN-Habitat Urban Indicators Database,750
Proportion of population with access to public transport,Jastrz?bie-Zdrój,Poland,Northern America and Europe,81.34, European Commission DG REGIO,751
Proportion of population with access to public transport,Tyumen,Russia,Northern America and Europe,81.69,UN-Habitat Urban Indicators Database,752
Proportion of population with access to public transport,Bunbury,Australia,Australia and New Zealand,81.79,UN-Habitat Urban Indicators Database,753
Proportion of population with access to public transport,Bergamo,Italy,Northern America and Europe,82.61, European Commission DG REGIO,754
Proportion of population with access to public transport,Umeå,Sweden,Northern America and Europe,82.89, European Commission DG REGIO,755
Proportion of population with access to public transport,Bielsko-Bia?a,Poland,Northern America and Europe,82.92, European Commission DG REGIO,756
Proportion of population with access to public transport,Hrodna ,Belarus ,Northern America and Europe,87.25,UN-Habitat Urban Indicators Database,757
Proportion of population with access to public transport,Buenos Aires,Argentina,Latin America and the Caribbean,87.29,UN-Habitat Urban Indicators Database,758
Proportion of population with access to public transport,Sibiu,Romania,Northern America and Europe,87.35, European Commission DG REGIO,759
Proportion of population with access to public transport,Venezia,Italy,Northern America and Europe,87.36, European Commission DG REGIO,760
Proportion of population with access to public transport,Gwangju,Republic of Korea (South Korea),Eastern Asia and South-Eastern Asia,87.48,UN-Habitat Urban Indicators Database,761
Proportion of population with access to public transport,Swords / Malahide,Ireland,Northern America and Europe,87.54, European Commission DG REGIO,762
Proportion of population with access to public transport,LasPiedras,Uruguay,Latin America and the Caribbean,87.54,UN-Habitat Urban Indicators Database,763
Proportion of population with access to public transport,Deventer,Netherlands,Northern America and Europe,87.58, European Commission DG REGIO,764
Proportion of population with access to public transport,Blantyre / Hamilton,United Kingdom,Northern America and Europe,87.61, European Commission DG REGIO,765
Proportion of population with access to public transport,Dobrich,Bulgaria,Northern America and Europe,87.65, European Commission DG REGIO,766
Proportion of population with access to public transport,Cessnock,Australia,Australia and New Zealand,87.69,UN-Habitat Urban Indicators Database,767
Proportion of population with access to public transport,Khanabad,Afghanistan,Central Asia and Southern Asia,87.81,UN-Habitat Urban Indicators Database,768
Proportion of population with access to public transport,Kaunas,Lithuania,Northern America and Europe,87.81, European Commission DG REGIO,769
Proportion of population with access to public transport,Vaihingen / Möhringen,Germany,Northern America and Europe,87.86, European Commission DG REGIO,770
Proportion of population with access to public transport,Vilnius,Lithuania,Northern America and Europe,87.88, European Commission DG REGIO,771
Proportion of population with access to public transport,Valencia,Spain,Northern America and Europe,87.95, European Commission DG REGIO,772
Proportion of population with access to public transport,Varna,Bulgaria,Northern America and Europe,88, European Commission DG REGIO,773
Proportion of population with access to public transport,Cluj-Napoca,Romania,Northern America and Europe,88.24, European Commission DG REGIO,774
Proportion of population with access to public transport,Sao Paulo,Brazil,Latin America and the Caribbean,88.32,UN-Habitat Urban Indicators Database,775
Proportion of population with access to public transport,Helsingborg,Sweden,Northern America and Europe,88.41, European Commission DG REGIO,776
Proportion of population with access to public transport,Uzunköprü,Turkey,Western Asia and Northern Africa ,88.46,UN-Habitat Urban Indicators Database,777
Proportion of population with access to public transport,Hengelo,Netherlands,Northern America and Europe,88.5, European Commission DG REGIO,778
Proportion of population with access to public transport,Quito,Ecuador,Latin America and the Caribbean,88.53,UN-Habitat Urban Indicators Database,779
Proportion of population with access to public transport,Södertälje,Sweden,Northern America and Europe,88.65, European Commission DG REGIO,780
Proportion of population with access to public transport,Roosendaal,Netherlands,Northern America and Europe,88.66, European Commission DG REGIO,781
Proportion of population with access to public transport,"Taipei, Taiwan",China,Eastern Asia and South-Eastern Asia,88.71,UN-Habitat Urban Indicators Database,782
Proportion of population with access to public transport,Magdeburg,Germany,Northern America and Europe,88.77, European Commission DG REGIO,783
Proportion of population with access to public transport,Florianopolis,Brazil,Latin America and the Caribbean,88.78,UN-Habitat Urban Indicators Database,784
Proportion of population with access to public transport,Yambol,Bulgaria,Northern America and Europe,88.85, European Commission DG REGIO,785
Proportion of population with access to public transport,Potsdam,Germany,Northern America and Europe,88.85, European Commission DG REGIO,786
Proportion of population with access to public transport,Melbourne,Australia,Australia and New Zealand,88.91,UN-Habitat Urban Indicators Database,787
Proportion of population with access to public transport,Bergen op Zoom,Netherlands,Northern America and Europe,89, European Commission DG REGIO,788
Proportion of population with access to public transport,Brisbane,Australia,Australia and New Zealand,89.05,UN-Habitat Urban Indicators Database,789
Proportion of population with access to public transport,Zagreb,Croatia,Northern America and Europe,89.09, European Commission DG REGIO,790
Proportion of population with access to public transport,Woking,United Kingdom,Northern America and Europe,89.11, European Commission DG REGIO,791
Proportion of population with access to public transport,Neuchatel,Switzerland,Northern America and Europe,89.13,UN-Habitat Urban Indicators Database,792
Proportion of population with access to public transport,Stockholm,Sweden,Northern America and Europe,89.14, European Commission DG REGIO,793
Proportion of population with access to public transport,Burgas,Bulgaria,Northern America and Europe,89.18, European Commission DG REGIO,794
Proportion of population with access to public transport,Shepparton,Australia,Australia and New Zealand,89.24,UN-Habitat Urban Indicators Database,795
Proportion of population with access to public transport,Moers / Rheinhausen,Germany,Northern America and Europe,89.32, European Commission DG REGIO,796
Proportion of population with access to public transport,Halton,United Kingdom,Northern America and Europe,89.34, European Commission DG REGIO,797
Proportion of population with access to public transport,Padova,Italy,Northern America and Europe,89.38, European Commission DG REGIO,798
Proportion of population with access to public transport,Napier,New Zealand,Australia and New Zealand,89.44,UN-Habitat Urban Indicators Database,799
Proportion of population with access to public transport,Eindhoven,Netherlands,Northern America and Europe,89.47, European Commission DG REGIO,800
Proportion of population with access to public transport,Gdynia,Poland,Northern America and Europe,95.11, European Commission DG REGIO,801
Proportion of population with access to public transport,Koblenz,Germany,Northern America and Europe,95.12, European Commission DG REGIO,802
Proportion of population with access to public transport,Limoges,France,Northern America and Europe,95.12, European Commission DG REGIO,803
Proportion of population with access to public transport,Trnava,Slovakia,Northern America and Europe,95.13, European Commission DG REGIO,804
Proportion of population with access to public transport,Benrath,Germany,Northern America and Europe,95.13, European Commission DG REGIO,805
Proportion of population with access to public transport,Lille,France,Northern America and Europe,95.14, European Commission DG REGIO,806
Proportion of population with access to public transport,Portsmouth,United Kingdom,Northern America and Europe,95.14, European Commission DG REGIO,807
Proportion of population with access to public transport,Cambridge,United Kingdom,Northern America and Europe,95.16, European Commission DG REGIO,808
Proportion of population with access to public transport,Görlitz,Germany,Northern America and Europe,95.17, European Commission DG REGIO,809
Proportion of population with access to public transport,Eastleigh,United Kingdom,Northern America and Europe,95.18, European Commission DG REGIO,810
Proportion of population with access to public transport,Swindon,United Kingdom,Northern America and Europe,95.19, European Commission DG REGIO,811
Proportion of population with access to public transport,Hagen,Germany,Northern America and Europe,95.24, European Commission DG REGIO,812
Proportion of population with access to public transport,Leicester,United Kingdom,Northern America and Europe,95.25, European Commission DG REGIO,813
Proportion of population with access to public transport,Heilbronn,Germany,Northern America and Europe,95.26, European Commission DG REGIO,814
Proportion of population with access to public transport,Kassel,Germany,Northern America and Europe,95.28, European Commission DG REGIO,815
Proportion of population with access to public transport,Antwerpen,Belgium,Northern America and Europe,95.28, European Commission DG REGIO,816
Proportion of population with access to public transport,Verona,Italy,Northern America and Europe,95.31, European Commission DG REGIO,817
Proportion of population with access to public transport,Saint-Etienne,France,Northern America and Europe,95.37, European Commission DG REGIO,818
Proportion of population with access to public transport,Tallinn,Estonia,Northern America and Europe,95.38, European Commission DG REGIO,819
Proportion of population with access to public transport,Aix-en-Provence,France,Northern America and Europe,95.38, European Commission DG REGIO,820
Proportion of population with access to public transport,Wiesbaden,Germany,Northern America and Europe,95.38, European Commission DG REGIO,821
Proportion of population with access to public transport,Fukuoka,Japan,Eastern Asia and South-Eastern Asia,95.39,UN-Habitat Urban Indicators Database,822
Proportion of population with access to public transport,Tamworth,United Kingdom,Northern America and Europe,95.39, European Commission DG REGIO,823
Proportion of population with access to public transport,Greater Manchester,United Kingdom,Northern America and Europe,95.42, European Commission DG REGIO,824
Proportion of population with access to public transport,Basel,Switzerland,Northern America and Europe,95.42, European Commission DG REGIO,825
Proportion of population with access to public transport,Kecskemét,Hungary,Northern America and Europe,95.45, European Commission DG REGIO,826
Proportion of population with access to public transport,Rüsselsheim am Main,Germany,Northern America and Europe,95.46, European Commission DG REGIO,827
Proportion of population with access to public transport,Stafford,United Kingdom,Northern America and Europe,95.46, European Commission DG REGIO,828
Proportion of population with access to public transport,Regensburg,Germany,Northern America and Europe,95.49, European Commission DG REGIO,829
Proportion of population with access to public transport,Debrecen,Hungary,Northern America and Europe,95.52, European Commission DG REGIO,830
Proportion of population with access to public transport,Taunton,United Kingdom,Northern America and Europe,95.53, European Commission DG REGIO,831
Proportion of population with access to public transport,Verviers / Dison,Belgium,Northern America and Europe,95.56, European Commission DG REGIO,832
Proportion of population with access to public transport,Palmerston,New Zealand,Australia and New Zealand,95.56,UN-Habitat Urban Indicators Database,833
Proportion of population with access to public transport,Newcastle-under-Lyme,United Kingdom,Northern America and Europe,95.6, European Commission DG REGIO,834
Proportion of population with access to public transport,Hilversum,Netherlands,Northern America and Europe,95.62, European Commission DG REGIO,835
Proportion of population with access to public transport,Poissy,France,Northern America and Europe,95.66, European Commission DG REGIO,836
Proportion of population with access to public transport,Burton-on-Trent,United Kingdom,Northern America and Europe,95.66, European Commission DG REGIO,837
Proportion of population with access to public transport,Shrewsbury,United Kingdom,Northern America and Europe,95.68, European Commission DG REGIO,838
Proportion of population with access to public transport,Colchester,United Kingdom,Northern America and Europe,95.68, European Commission DG REGIO,839
Proportion of population with access to public transport,Lugano,Switzerland,Northern America and Europe,95.69, European Commission DG REGIO,840
Proportion of population with access to public transport,Stevenage,United Kingdom,Northern America and Europe,95.7, European Commission DG REGIO,841
Proportion of population with access to public transport,Modena,Italy,Northern America and Europe,95.7, European Commission DG REGIO,842
Proportion of population with access to public transport,Kingston-upon-Hull,United Kingdom,Northern America and Europe,95.71, European Commission DG REGIO,843
Proportion of population with access to public transport,Santiago de Compostela,Spain,Northern America and Europe,95.71, European Commission DG REGIO,844
Proportion of population with access to public transport,Poitiers,France,Northern America and Europe,95.76, European Commission DG REGIO,845
Proportion of population with access to public transport,Graz,Austria,Northern America and Europe,95.76, European Commission DG REGIO,846
Proportion of population with access to public transport,Ludwigsburg,Germany,Northern America and Europe,95.77, European Commission DG REGIO,847
Proportion of population with access to public transport,Medway,United Kingdom,Northern America and Europe,95.77, European Commission DG REGIO,848
Proportion of population with access to public transport,Banská Bystrica,Slovakia,Northern America and Europe,95.78, European Commission DG REGIO,849
Proportion of population with access to public transport,Turku / Åbo,Finland,Northern America and Europe,95.78, European Commission DG REGIO,850
Proportion of population with access to public transport,Le Mans,France,Northern America and Europe,95.79, European Commission DG REGIO,851
Proportion of population with access to public transport,Würzburg,Germany,Northern America and Europe,94.31, European Commission DG REGIO,852
Proportion of population with access to public transport,Reggio di Calabria,Italy,Northern America and Europe,97.6, European Commission DG REGIO,853
Proportion of population with access to public transport,Eastbourne,United Kingdom,Northern America and Europe,97.08, European Commission DG REGIO,854
Proportion of population with access to public transport,Norwich,United Kingdom,Northern America and Europe,96.42, European Commission DG REGIO,855
Proportion of population with access to public transport,Amora,Portugal,Northern America and Europe,98.22, European Commission DG REGIO,856
Proportion of population with access to public transport,Opole,Poland,Northern America and Europe,93.68, European Commission DG REGIO,857
Proportion of population with access to public transport,Praha,Czech Republic,Northern America and Europe,93.73, European Commission DG REGIO,858
Proportion of population with access to public transport,Uppsala,Sweden,Northern America and Europe,93.73, European Commission DG REGIO,859
Proportion of population with access to public transport,Lünen,Germany,Northern America and Europe,93.73, European Commission DG REGIO,860
Proportion of population with access to public transport,Tapiola / Niittykumpu,Finland,Northern America and Europe,93.76, European Commission DG REGIO,861
Proportion of population with access to public transport,?ód?,Poland,Northern America and Europe,93.76, European Commission DG REGIO,862
Proportion of population with access to public transport,Herzogenrath,Germany,Northern America and Europe,93.78, European Commission DG REGIO,863
Proportion of population with access to public transport,Belchatow,Poland,Northern America and Europe,93.8, European Commission DG REGIO,864
